senseval2.d000.s000.t000	5) The study and creation of visual works of art
semeval2013.d003.s015.t000	1) Ask for or request earnestlyThe most suitable definition for "bid" is 1) Ask for or request
semeval2013.d003.s015.t001	2) A binding agreement between two or more persons that is enforceable by law
semeval2013.d003.s015.t002	The most suitable dictionary definition which identifies the meaning of "company" is:1) An institution created to conduct businessThis
semeval2013.d003.s015.t003	1) The money risked on a gamble
semeval2013.d003.s015.t004	2) A binding agreement between two or more persons that is enforceable by law
semeval2013.d003.s015.t005	8) a geographic region (land or sea) under which something valuable is found.Explanation: In the sentence, "fields
semeval2013.d003.s016.t000	2) High quality porcelain originally made only in China
semeval2013.d003.s016.t002	8) One possessing or exercising power or influence or authority.
semeval2013.d003.s017.t000	1) An institution created to conduct business
semeval2013.d003.s017.t001	The most suitable definition is:1) A state of being essentially equal or equivalent; equally balancedThis definition aligns with
semeval2013.d003.s017.t003	3) The trait of sincere and steadfast fixity of purpose
semeval2013.d003.s018.t000	The most suitable dictionary definition is:11) The members of a business organization that owns or operates one or more establishments.This
semeval2013.d003.s018.t001	4) A formal proposal to buy at a specified price.
semeval2013.d003.s018.t002	3) Something offered (as a proposal or bid).
semeval2013.d003.s018.t003	2) The quantity that a barrel (of any size) will hold
semeval2013.d003.s018.t004	1) A fixed charge for a privilege or for professional services
semeval2013.d003.s018.t005	2) A government department under the direction of a minister
semeval2013.d003.s018.t006	3) The quantity of something (as a commodity) that is created (usually within a given period of time).
semeval2013.d003.s018.t007	3) An abstract place usually conceived as having depth.
semeval2013.d003.s018.t008	1) A particular kind of commercial enterpriseThis definition best identifies the meaning of "field" in the sentence.
semeval2013.d004.s000.t000	The most suitable definition is:1) A financial institution that accepts deposits and channels the money into lending activities.This definition accurately
semeval2013.d004.s000.t001	5) The way something is with respect to its main attributes
semeval2013.d004.s000.t002	9) the legislative hall where members debate and vote and conduct other business.
semeval2013.d004.s001.t001	1) A financial institution that accepts deposits and channels the money into lending activities
semeval2013.d004.s001.t002	The most suitable dictionary definition which identifies the meaning of "state" among the given options is:10) a large room in
semeval2013.d004.s001.t003	1) A restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner)
semeval2013.d004.s002.t001	The most suitable dictionary definition which identifies the meaning of "support" is:1) The activity of providing for or maintaining by
semeval2013.d004.s002.t002	1) A financial institution that accepts deposits and channels the money into lending activities.
semeval2013.d004.s002.t003	1) Kindly endorsement and guidance
semeval2013.d004.s002.t004	The most suitable definition which identifies the meaning of "fund" is:4) A reserve of money set aside for some purpose
semeval2013.d004.s002.t005	5) A quantity of money
semeval2013.d004.s003.t000	2) The general estimation that the public has for a person
semeval2013.d004.s003.t002	1) Someone who broadcasts on radio or television.In this sentence, the word "broadcaster" refers to the person
semeval2013.d004.s003.t003	The most suitable dictionary definition for the word "state" is:10) The group of people comprising the government of a sovereign
semeval2013.d004.s003.t004	3) Something providing immaterial assistance to a person or cause or interest.This definition best matches the context of the sentence,
semeval2013.d004.s004.t000	5) An organization founded and united for a specific purpose.
semeval2013.d004.s004.t001	2) An act of limiting or restricting (as by regulation).
semeval2013.d004.s004.t002	4) (contract law) words signifying consent to the terms of an offer (thereby creating a contract).
semeval2013.d004.s004.t003	2) Wealth reckoned in terms of money.
semeval2013.d004.s004.t004	1) The greatest amount of something that is possible or allowed.
semeval2013.d004.s004.t005	2) Someone who controls resources and expenditures
semeval2013.d004.s004.t006	2) An additional payment (or other remuneration) to employees as a means of increasing output.
semeval2013.d004.s004.t007	5) (psychoanalysis) the libidinal energy invested in some idea or person or object.Explanation: This definition
semeval2013.d004.s005.t001	1) The temporary provision of money (usually at interest)
semeval2013.d004.s006.t000	1) A state of inaction
semeval2013.d004.s006.t001	2) How much there is or how many there are of something that you can quantify
semeval2013.d004.s006.t003	2) The state of being purchasable; offered or exhibited for selling
semeval2013.d004.s007.t000	The most suitable dictionary definition which identifies the meaning of "Bank" among the given options is:1) A financial institution that
semeval2013.d004.s008.t000	1) A financial institution that accepts deposits and channels the money into lending activities
semeval2013.d004.s008.t001	2) The perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel).
semeval2013.d004.s008.t002	2) An unstable situation of extreme danger or difficulty
semeval2013.d004.s008.t003	2) The ceremonial act of clothing someone in the insignia of an office; the formal promotion of a person to an office
semeval2013.d004.s008.t004	1) A financial institution that accepts deposits and channels the money into lending activitiesThe most suitable definition is 1) A
semeval2013.d004.s009.t000	1) Money in the form of bills or coins.
semeval2013.d004.s009.t001	2) A verbal commitment by one person to another agreeing to do (or not to do) something in the future.
semeval2013.d004.s009.t002	7) A politically organized body of people under a single government
semeval2013.d004.s010.t002	1) A financial institution that accepts deposits and channels the money into lending activities
semeval2013.d004.s010.t003	1) Wealth in the form of money or property owned by a person or business and human resources of economic value.
semeval2013.d004.s010.t004	3) The amount by which something increases
semeval2013.d004.s010.t006	3) A plane curve generated by one point moving at a constant distance from a fixed point
semeval2013.d004.s012.t000	1) The activity of providing for or maintaining by supplying with money or necessities.
semeval2013.d005.s000.t000	2) (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of
semeval2013.d005.s001.t002	3) A short light oar used without an oarlock to propel a canoe or small boat.
semeval2013.d005.s002.t000	3) A written document describing the findings of some individual or group.
semeval2013.d005.s002.t001	2) An assertion offering firsthand authentication of a fact
semeval2013.d005.s003.t000	1) As the end result of a succession or process
semeval2013.d005.s003.t001	The most suitable dictionary definition which identifies the meaning of "defense" among the given options is:13) (psychiatry
semeval2013.d005.s003.t002	2) A communication (usually brief) that is written or spoken or signaled
semeval2013.d005.s003.t003	8) A comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy.
semeval2013.d005.s003.t004	3) The crime of forcing a woman to submit to sexual intercourse against her will.
