senseval2.d000.s000.t000	In the context of the given sentence, the word "art" refers to a skill or a practice.
semeval2013.d002.s009.t005	Pressure: force that is applied to a surface, causing it to deform or change shape.
semeval2013.d002.s009.t006	A sector is a part of an economy or a system that is characterized by a particular function, activity, or industry.
semeval2013.d002.s009.t007	The dictionary definition of "situation" in this context is:1. A particular state or circumstances.
semeval2013.d002.s010.t001	Here's a dictionary definition for "securities":1. a feeling of deep-seated anxiety or apprehension about the future
semeval2013.d002.s010.t002	"Ground" in this sentence means 'a basis or foundation'.
semeval2013.d002.s012.t000	Treasury: The public debt of a government.
semeval2013.d002.s012.t001	Bond: A debt security in which an investor loans money to an entity (typically a corporation or government) that agrees to repay
semeval2013.d002.s012.t002	Here's a dictionary definition of "yields" in the context of the given sentence:Yields (noun): The rate
semeval2013.d002.s012.t004	The dictionary definition of "evening" in this context is:the time of day between sunset and midnight.
semeval2013.d002.s012.t005	Bond: A long-term loan made by an investor to a borrower, typically a corporation or government, in exchange for regular interest
semeval2013.d002.s012.t006	Here's a dictionary definition of "yields" in the context of the given sentence:Yields (noun): The rate
semeval2013.d002.s012.t007	Evening: the time of day between noon and midnight, especially the part of the day when the sun is below the horizon
semeval2013.d003.s000.t000	Deal: A formal agreement or contract between two or more parties involving the exchange of something of value, such as money, goods
semeval2013.d003.s001.t000	Concerns: feelings of worry or anxiety about something, especially about its consequences.
semeval2013.d003.s001.t001	The dictionary definition of "violence" is:1. The use or threat of physical force or aggression, especially in a
semeval2013.d003.s001.t002	Here is a dictionary definition of "instability" from Merriam-Webster:Instability (noun): a lack
semeval2013.d003.s001.t003	The dictionary definition of "government" in this context is:1. The system or organization in which a country is governed;
semeval2013.d003.s001.t006	Auction: A public sale in which goods or services are sold to the highest bidder, usually in a competitive process.
semeval2013.d003.s002.t000	The dictionary definition of "deals" in this context is:*   A agreement or bargain, especially one that is made
semeval2013.d003.s002.t002	China: A country in East Asia, officially known as the People's Republic of China, occupying a vast territory that includes the
semeval2013.d003.s002.t003	Russia: A country located in northern Eurasia, consisting of 11 federal subjects, including 22 republics, 46
semeval2013.d003.s002.t004	The dictionary definition of "oil" in this context is:1. A viscous liquid fossil fuel derived from the remains of
semeval2013.d003.s002.t006	According to the dictionary, "role" can be defined as:1. A part or function that someone or something has or
semeval2013.d003.s002.t009	"Decades" refers to a period of 10 years.
semeval2013.d003.s002.t010	"War" is defined as:1. A state of armed conflict between nations, states, or societies.
semeval2013.d003.s002.t011	According to the dictionary, "sanctions" refers to:1. A penalty or punishment imposed by a government on another government
semeval2013.d003.s003.t000	Here's a dictionary definition of "companies" in this context:Companies: (noun) A business or enterprise that is carried
semeval2013.d003.s003.t001	Stakes (noun): 1. a risk or a challenge; a gamble2. a length of wood, typically
semeval2013.d003.s003.t002	Field (noun): A piece of land used for a particular purpose, such as farming, grazing, or other activities.
semeval2013.d003.s004.t000	Companies: (noun) A business or organization that engages in commercial or industrial activities, typically having a fixed capital and employing a
semeval2013.d003.s004.t001	Auction: A public sale in which goods or services are offered for sale in lots, and the highest bidder wins the item
semeval2013.d003.s005.t000	The word "bid" in this sentence is a noun.
semeval2013.d003.s006.t000	Companies: (noun) a large business organization, especially one that is owned by shareholders.
semeval2013.d003.s006.t001	Deal: A bargain or agreement reached by negotiation, often involving the exchange of something of value.
semeval2013.d003.s006.t002	"Fields" can be defined as: 1. An area of land used for growing crops or raising livestock.2.
semeval2013.d003.s007.t000	Representation (noun): The act or process of representing something, especially an idea, interest, or group, as if it were
semeval2013.d003.s007.t001	The word "oil" in the sentence refers to a viscous liquid fossil fuel derived from the remains of ancient plants and animals
semeval2013.d003.s007.t002	Giant: 1. Extremely large or impressive in size, amount, or degree; enormous.
semeval2013.d003.s007.t005	According to the Oxford English Dictionary, "analysts" is defined as:1. A person who studies and interprets data
semeval2013.d003.s008.t001	The dictionary definition of "doors" is:1. A structure consisting of a frame and hinges that are designed to be opened
semeval2013.d003.s008.t002	A unit of time consisting of 365.24 days, equal to a year.
semeval2013.d003.s008.t003	According to the dictionary, "war" is defined as:1. A state of armed conflict between nations, countries, or
semeval2013.d003.s008.t004	U.S. - A common abbreviation for the United States.
semeval2013.d003.s008.t005	"Companies" refers to a business organization or a group of individuals associated with a particular trade, industry, or profession.
semeval2013.d003.s008.t007	A dictionary definition of "editor" is:A person who is responsible for the overall direction, organization, and supervision of the
semeval2013.d003.s008.t008	News: information about current events, especially those of interest to a particular country or group of people.
semeval2013.d003.s008.t009	The word "outlet" in this sentence is defined as:1. A place where something is sold or distributed, especially
semeval2013.d003.s010.t000	Concerns: 1. A feeling of worry or apprehension about something.
semeval2013.d003.s010.t001	The dictionary definition of "security" in this context is:1. The state of being safe from danger, harm, or
semeval2013.d003.s010.t002	"Bombings" is defined as: 1. The act of throwing or dropping bombs.
semeval2013.d003.s010.t004	Here's a dictionary definition for the word "instability":Instability (noun): A state of being unstable; lack of
semeval2013.d003.s010.t005	The dictionary definition for "U.S." is:U.S. (noun) - United States of America
semeval2013.d003.s010.t009	The word "world" in the given sentence is defined as: 1. The planet Earth and all its inhabitants, or
semeval2013.d003.s010.t011	"Analysts" refers to experts who study and interpret data or information, especially in a specialized field, often providing opinions or
