senseval2.d000.s000.t000	1) A superior skill that you can learn by study and practice and observation
senseval3.d002.s120.t004	3) Shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
senseval3.d002.s120.t005	The most suitable dictionary definition for "threw" in the given sentence is:2) Propel through the airThe
senseval3.d002.s120.t006	5) A mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
senseval3.d002.s120.t007	1) Hit something so that it bounces
senseval3.d002.s120.t008	6) Make an effort or attempt
senseval3.d002.s121.t000	3) Being satisfactory or in satisfactory condition
senseval3.d002.s122.t001	3) Containing as much or as many as is possible or normal
senseval3.d002.s122.t002	3) Glassware made of quartz
senseval3.d002.s123.t000	8) Physical objects consisting of a number of pages bound together
senseval3.d002.s123.t001	1) A recording made on magnetic tape
senseval3.d002.s123.t002	3) An area within a building enclosed by walls and floor and ceiling
senseval3.d002.s124.t000	1) A separate and self-contained entity
senseval3.d002.s124.t001	13) A building in which something is sheltered or located.
senseval3.d002.s124.t002	5) The manner of construction of something and the arrangement of its parts
senseval3.d002.s124.t003	3) Being satisfactory or in satisfactory condition
senseval3.d002.s125.t000	The most suitable dictionary definition for "standing" in the given sentence is:12) Occupy a place or location,
senseval3.d002.s125.t002	2) Wait before acting
senseval3.d002.s125.t003	3) Shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
senseval3.d002.s125.t004	4) Notice or perceive
senseval3.d002.s125.t006	2) Come up to the surface of or rise
senseval3.d002.s125.t007	2) A relatively homogeneous percept extending back of the figure on which attention is focused.
senseval3.d002.s128.t000	The most suitable dictionary definition for "amazing" in the given sentence is:2) Inspiring awe or admiration or wonder
senseval3.d002.s128.t001	8) A particular point in time
senseval3.d002.s128.t002	The most suitable dictionary definition for "change" in the given sentence is:2) Become different in some particular way,
senseval3.d002.s128.t003	The most suitable dictionary definition for "life" in the given sentence is:7) The experience of being alive; the course
senseval3.d002.s131.t000	2) Expect, believe, or suppose
senseval3.d002.s131.t001	4) Inhabit or live in; be an inhabitant of
senseval3.d002.s131.t002	2) Wait before acting
senseval3.d002.s132.t000	6) Not easy; requiring great physical or mental effort to accomplish or comprehend or endure
senseval3.d002.s132.t001	The most suitable dictionary definition for "accept" in the given sentence is:8) Give an affirmative reply to; respond favor
senseval3.d002.s132.t002	The most suitable dictionary definition for "took" in the sentence "It's hard to accept that it's over and only took
senseval3.d002.s132.t003	8) A particular point in time
senseval3.d002.s133.t000	1) Have a wish or desire to know something
senseval3.d002.s133.t001	2) (usually followed by `to') having the necessary means or skill or know-how or authority to do something
senseval3.d002.s133.t002	The most suitable dictionary definition for "relax" in the given sentence is:7) Become less tense, rest,
senseval3.d002.s136.t000	2) The soft tissue of the body of a vertebrate: mainly muscle tissue and fat
senseval3.d002.s136.t001	The most suitable dictionary definition for "goes" in the sentence "Flesh goes to total alert for flight or fight"
senseval3.d002.s136.t003	6) The act of escaping physically
senseval3.d002.s136.t004	1) The act of fighting; any contest or struggle
senseval3.d002.s137.t000	1) Disgust so strong it makes you feel sick
senseval3.d002.s137.t001	3) Seem to be true, probable, or apparent
senseval3.d002.s137.t002	2) Completely ordinary and unremarkable
senseval3.d002.s137.t003	The most suitable dictionary definition for "symptom" in the given sentence is:1) (medicine) any objective
senseval3.d002.s138.t000	The most suitable dictionary definition for "quiet" in the sentence "Berkeley very quiet right now" is:5) Free
senseval3.d002.s139.t000	9) Use one's feet to advance; advance by steps
senseval3.d002.s139.t002	1) A unit of time equal to 60 seconds or 1/60th of an hour
senseval3.d002.s139.t003	2) The earliest period
senseval3.d002.s140.t000	1) Nearest in space or position; immediately adjoining without intervening space
senseval3.d002.s140.t003	1) Make into a bundle
senseval3.d002.s140.t004	4) Of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky
senseval3.d002.s140.t006	2) Change to an upright sitting position
senseval3.d002.s140.t007	6) Utter aloud
senseval3.d002.s140.t009	2) An adult female person (as opposed to a man)
senseval3.d002.s140.t010	1) Change one's facial expression by spreading the lips, often to signal pleasure
senseval3.d002.s140.t011	6) Utter aloud
senseval3.d002.s140.t012	1) Very good
senseval3.d002.s140.t013	1) (often followed by 'with') full of life and spirit
senseval3.d002.s141.t000	3) Consent or assent to a condition, or agree to do something
semeval2013.d000.s000.t000	5) A group of people who work together
semeval2013.d000.s000.t001	1) A series of steps to be carried out or goals to be accomplished
semeval2013.d000.s000.t002	1) A substance that is emitted or released
semeval2013.d000.s001.t000	2) The weather in some location averaged over some long period of time
semeval2013.d000.s001.t001	2) A discussion among participants who have an agreed (serious) topic
semeval2013.d000.s001.t004	4) The concentration of attention or energy on something
semeval2013.d000.s001.t007	3) Writing that provides information (especially information of an official nature).
semeval2013.d000.s001.t008	6) The act of abating
semeval2013.d000.s001.t009	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
semeval2013.d000.s001.t010	3) Weight to be borne or conveyed
semeval2013.d000.s001.t011	7) A limited period of time
semeval2013.d000.s002.t000	1) The words of something written
semeval2013.d000.s002.t001	3) The fundamental assumptions from which something is begun or developed or calculated or explained
semeval2013.d000.s002.t002	3) An agreement between parties (usually arrived at after discussion) fixing obligations of each
semeval2013.d000.s002.t004	1) An obstruction that stands in the way (and must be removed or surmounted or circumvented)This definition best fits
semeval2013.d000.s002.t005	The most suitable dictionary definition for "path" in the given sentence is:2) A course of conductIn the context
semeval2013.d000.s003.t000	The most suitable dictionary definition for "advance" in the given sentence is:5) A change for the better; progress
semeval2013.d000.s003.t001	1) A discussion intended to produce an agreement
semeval2013.d000.s003.t002	7) A period of time considered as a resource under your control and sufficient to accomplish something.
semeval2013.d000.s003.t004	2) A person who rules or guides or inspires others
semeval2013.d000.s003.t006	1) Any period of seven consecutive days
semeval2013.d000.s004.t001	1) The words of something written
semeval2013.d000.s004.t002	1) The most common medium of exchange; functions as legal tender
semeval2013.d000.s004.t003	2) A politically organized body of people under a single government
semeval2013.d000.s004.t004	1) A single person or thing
semeval2013.d000.s004.t006	7) A limited period of time
semeval2013.d000.s005.t000	The most suitable dictionary definition for "range" in the given sentence is:10) A set containing all points (or
semeval2013.d000.s005.t001	2) One of a number of things from which only one can be chosen
semeval2013.d000.s005.t002	2) A sentence of inquiry that asks for a reply
semeval2013.d000.s005.t003	The most suitable dictionary definition for "upper limit" in the given sentence is:2) The largest possible quantityIn the
semeval2013.d000.s005.t004	3) The degree of hotness or coldness of a body or environment (corresponding to its molecular activity).
semeval2013.d000.s005.t005	4) A movement upward
semeval2013.d000.s006.t000	4) Your overall circumstances or condition in life (including everything that happens to you).
semeval2013.d000.s006.t001	1) The quality of being adaptable or variable
semeval2013.d000.s006.t002	10) A particular course of action intended to achieve a result
semeval2013.d000.s006.t003	4) The capital of the United States in the District of Columbia and a tourist mecca; George Washington commissioned Charles L'En
semeval2013.d000.s006.t004	1) An advocate who represents someone else's policy or purpose
