senseval2.d000.s000.t000	2) The products of human creativity; works of art collectively
senseval3.d001.s019.t014	2) Be face to face withThe word "confronting" in this context means being in a direct and immediate
senseval3.d001.s019.t016	6) People who are believed to belong to the same genetic stock.In this context, "races" refers to the
senseval3.d001.s020.t000	2) Serve as a reason or cause or justification of
senseval3.d001.s020.t002	The most suitable dictionary definition which identifies the meaning of "hold" in the given sentence is:1) Protect against a challenge
senseval3.d001.s020.t003	1) Lack of respect accompanied by a feeling of intense dislike.The sentence implies that voters hold Congress in general disapproval or
senseval3.d001.s020.t004	1) Have a great affection or liking for
senseval3.d001.s020.t007	3) A person who represents others.This definition accurately captures the meaning of "representatives" in the given sentence, as
senseval3.d001.s020.t008	4) Separate and distinct from others of the same kind.This definition best fits the meaning of "individual" in the given
senseval3.d001.s020.t010	2) A member of a constituency; a citizen who is represented in a government by officials for whom he or she votes.
senseval3.d001.s020.t011	1) Recognize with gratitude; be grateful for
senseval3.d001.s020.t012	2) (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique.This definition
senseval3.d001.s020.t013	3) Something that aids or promotes well-beingThis definition best captures the meaning of "benefits" in the context of
senseval3.d001.s020.t015	1) Win something through one's effortsThis definition best matches the context of the sentence, where it's stated that the
senseval3.d001.s020.t016	1) Including everything
senseval3.d001.s020.t017	3) Value measured by what must be given or done or undergone to obtain somethingIn the given sentence, "cost"
senseval3.d001.s020.t019	3) Very unusual; different in character or quality from the normal or expected.In the given sentence, "other" is
senseval3.d001.s020.t021	12) Get (something) done.In this context, "doing" refers to engaging in or carrying out an action,
senseval3.d001.s021.t001	5) Imply as a possibilityThe sentence is saying that the theory implies or suggests that legislators who pay too much attention
senseval3.d001.s021.t004	5) Concerned with or applicable to or belonging to an entire nation or country.This definition most accurately captures the meaning of
senseval3.d001.s021.t005	1) A line of argument rationalizing the course of action of a government
senseval3.d001.s021.t006	2) The act that results in something coming to be.In the sentence, "making" refers to the process or act
senseval3.d001.s021.t007	2) Estimated by comparison; not absolute or complete.This definition best captures the meaning of "relative" in the given sentence
senseval3.d001.s021.t008	1) Of or belonging to or characteristic of a particular locality or neighborhood.
senseval3.d001.s021.t009	7) Have or possess, either in a concrete or an abstract sense.In the given sentence, "have" is used
senseval3.d001.s021.t011	1) (of a government or government official) holding an office means being in power
senseval3.d001.s022.t002	1) One of the persons who compose a social group (especially individuals who have joined and participate in a group organization).
senseval3.d001.s022.t003	3) Susceptible to attack.The sentence describes politicians who have become "vulnerable" in the sense that they are
senseval3.d001.s022.t005	2) Undergo a change or development.In this context, "become" means to change or undergo a transformation,
senseval3.d001.s022.t006	1) (usually followed by `to') not affected by a given influenceThis definition fits the context of the sentence,
senseval3.d001.s022.t007	1) An unsuccessful ending to a struggle or contest.This definition accurately describes the meaning of "defeat" in the given
senseval3.d001.s023.t000	2) An instance that does not conform to a rule or generalization.In the given sentence, "exception" refers to
senseval3.d001.s023.t002	4) A general direction in which something tends to move.This definition best fits the context of the sentence, as it describes
senseval3.d001.s023.t003	1) An unsuccessful ending to a struggle or contest
senseval3.d001.s023.t004	2) A first-year undergraduate.In this context, "freshman" refers to a first-year student at a university,
senseval3.d001.s023.t005	2) A member of the Republican Party.
senseval3.d001.s023.t006	9) Go or come after and bring or take back
senseval3.d001.s023.t007	3) An administrative unit of governmentThis definition best matches the context of the sentence, as "office" refers to a
senseval3.d001.s023.t008	4) A drastic and far-reaching change in ways of thinking and behaving.This definition captures the meaning of "revolution" as
senseval3.d001.s023.t009	The most suitable definition for "running" in the given sentence is:4) Move fast by using one's feet, with
senseval3.d001.s024.t000	2) A first-year undergraduate.This definition is the most suitable because it directly refers to students in their first year of college
senseval3.d001.s024.t001	16) Identify the location or place ofIn the sentence, "placed" is in the passive voice, indicating that the
senseval3.d001.s024.t002	2) Special importance or significance
senseval3.d001.s024.t004	1) The actions and activities assigned to or required or expected of a person or group.
senseval3.d001.s024.t005	The most suitable dictionary definition which identifies the meaning of "spreading" in the given sentence is:3) Distribute or
senseval3.d001.s024.t006	4) A drastic and far-reaching change in ways of thinking and behaving.In this context, "revolution" refers to a
senseval3.d001.s024.t007	5) Concerned with or applicable to or belonging to an entire nation or country.
senseval3.d001.s024.t008	1) A line of argument rationalizing the course of action of a governmentThis definition best fits the context of the sentence
senseval3.d001.s024.t009	2) The act that results in something coming to be.In the sentence, "making" refers to the process or act
senseval3.d001.s025.t002	1) Give evidence ofIn the given sentence, the word "indicates" means to provide or show evidence of something
senseval3.d001.s025.t006	2) Be attractive toThe sentence is using "attracting" in the sense of drawing or appealing to people,
senseval3.d001.s025.t008	1) A politician who is running for public office.
senseval3.d001.s025.t010	3) An administrative unit of government.This definition best fits the context of the sentence, as "office" is referring to
senseval3.d001.s026.t000	1) Expected to become or be; in prospect
senseval3.d001.s026.t001	2) Someone who is considered for something (for an office or prize or honor etc.)This definition encompasses the meaning of "
senseval3.d001.s026.t002	2) Deprive of courage or hope; take away hope from; cause to feel discouragedThis definition accurately captures the
senseval3.d001.s026.t003	42) Run, stand, or compete for an office or a position.
